Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,94.370003,95.629997,94.360001,94.879997,94.879997,61400
2022-03-15,92.019997,98.209999,92.019997,95.930000,95.930000,96700
2022-03-16,96.820000,99.230003,96.820000,99.230003,99.230003,67800
2022-03-17,99.019997,100.120003,99.019997,99.800003,99.800003,38300
2022-03-18,99.730003,100.790001,99.730003,100.790001,100.790001,153000
2022-03-21,101.000000,101.000000,98.269997,99.500000,99.500000,111400
2022-03-22,97.250000,99.260002,97.250000,99.199997,99.199997,97400
2022-03-23,101.250000,101.250000,99.470001,99.470001,99.470001,37100
2022-03-24,99.720001,100.830002,99.720001,100.489998,100.489998,23300
2022-03-25,99.760002,100.120003,99.360001,99.889999,99.889999,35100
2022-03-28,95.559998,98.800003,95.559998,98.550003,98.550003,33400
2022-03-29,101.250000,101.250000,98.349998,100.510002,100.510002,47600
2022-03-30,100.110001,101.900002,100.110001,101.519997,101.519997,48800
2022-03-31,100.389999,100.910004,99.750000,99.750000,99.750000,54800
2022-04-01,100.370003,100.629997,99.690002,100.239998,100.239998,28400
2022-04-04,100.620003,101.739998,100.000000,101.669998,101.669998,83700
2022-04-05,101.669998,102.769997,101.059998,101.449997,101.449997,66200
2022-04-06,100.720001,102.699997,100.129997,100.580002,100.580002,89100
2022-04-07,98.349998,100.650002,98.349998,100.500000,100.500000,41000
2022-04-08,98.669998,99.879997,98.669998,99.419998,99.419998,36500
2022-04-11,95.809998,99.099998,95.809998,98.339996,98.339996,36700
2022-04-12,95.559998,99.989998,95.559998,97.720001,97.720001,39300
2022-04-13,96.410004,97.839996,96.120003,97.680000,97.680000,54500
2022-04-14,99.660004,99.660004,97.360001,97.599998,97.599998,35100
2022-04-18,95.559998,98.059998,95.559998,97.809998,97.809998,45900
2022-04-19,95.559998,99.970001,95.559998,99.650002,99.650002,200100
2022-04-20,99.199997,99.480003,98.809998,99.050003,99.050003,39200
2022-04-21,96.349998,99.589996,96.349998,97.809998,97.809998,41900
2022-04-22,95.959999,100.000000,95.959999,97.059998,97.059998,31300
2022-04-25,93.400002,97.320000,93.400002,96.400002,96.400002,39100
2022-04-26,93.400002,97.940002,93.400002,95.129997,95.129997,67100
2022-04-27,92.320000,95.550003,92.320000,94.860001,94.860001,67100
2022-04-28,94.559998,96.559998,94.510002,96.089996,96.089996,47800
2022-04-29,94.879997,98.000000,94.879997,95.269997,95.269997,33100
2022-05-02,95.639999,95.650002,94.129997,95.080002,95.080002,51800
2022-05-03,97.129997,97.930000,96.650002,97.150002,97.150002,39500
2022-05-04,94.940002,100.709999,94.940002,100.559998,100.559998,43500
2022-05-05,96.680000,98.589996,95.940002,96.860001,96.860001,47400
2022-05-06,93.769997,94.940002,93.540001,94.250000,94.250000,64000
2022-05-09,92.800003,94.370003,92.379997,93.019997,93.019997,45900
2022-05-10,92.260002,94.879997,92.260002,93.889999,93.889999,62500
2022-05-11,96.050003,97.440002,95.010002,95.029999,95.029999,64400
2022-05-12,92.389999,93.809998,92.029999,93.190002,93.190002,51000
2022-05-13,96.870003,97.620003,96.470001,97.570000,97.570000,78200
2022-05-16,95.050003,97.430000,95.050003,96.750000,96.750000,55200
2022-05-17,95.919998,97.480003,95.919998,97.059998,97.059998,42500
2022-05-18,96.220001,96.230003,93.370003,93.559998,93.559998,34000
2022-05-19,95.900002,96.900002,95.800003,96.610001,96.610001,45000
2022-05-20,97.010002,97.029999,95.379997,96.690002,96.690002,52400
2022-05-23,96.769997,97.500000,96.459999,96.580002,96.580002,52000
2022-05-24,96.680000,97.660004,96.099998,97.660004,97.660004,47200
2022-05-25,96.040001,97.199997,96.040001,96.930000,96.930000,42300
2022-05-26,96.129997,97.120003,95.699997,96.449997,96.449997,59700
2022-05-27,95.680000,97.370003,95.680000,96.849998,96.849998,61100
2022-05-31,99.430000,99.430000,96.389999,97.300003,97.300003,60700
2022-06-01,99.779999,99.779999,97.089996,97.419998,97.419998,46600
2022-06-02,97.230003,100.059998,96.290001,98.949997,98.949997,45300
2022-06-03,96.970001,98.199997,96.389999,96.389999,96.389999,30200
2022-06-06,98.059998,98.309998,97.239998,97.580002,97.580002,46000
2022-06-07,95.919998,97.480003,95.559998,97.470001,97.470001,41900
2022-06-08,96.419998,97.839996,96.419998,97.385002,97.385002,5757
